,0
U5E74,1985
U81F3,1915
U5D14,159
U8349,307
U9F13,54
U611B,329
U8EAB,535
U5C07,700
U76D6,111
UF96B,6
U5099,323
U6578,713
U5BEB,73
U5B50,2419
U807D,296
U5F97,1620
U8655,782
U9670,256
U65CB,122
U5341,1303
U81FA,364
U671B,719
U5764,106
U96C6,349
U7232,4258
U53EF,2384
U4E8C,1022
U5247,2498
U767C,488
U5DEE,151
U7136,2151
U61B2,232
U65E5,2527
U562F,32
U571F,175
U884C,1541
U65ED,6
U83AB,428
U5176,5607
U4E4B,17615
U5C31,245
U79C9,121
U96B1,391
U4EE5,7006
U76F8,1123
U81E3,3058
U770B,214
U674E,940
U5F80,383
U661F,145
U6309,236
U6C11,719
U672A,1745
U5FED,10
U6B64,2401
U535A,111
U7406,777
U5E2B,425
U67AF,39
U9006,70
U4E00,3151
U88AB,336
U7AEF,310
U8FFD,186
U9996,416
U5BC4,227
U6236,180
U5B6B,441
U82B1,361
U7FF0,80
U9593,718
U6751,224
U5DDD,297
U66F0,1814
U54A8,103
U6B63,983
U65E9,209
U800C,8509
U4E91,397
U77E3,1966
U537F,357
U60D5,66
U5211,194
U6714,71
U6C34,491
U5BA4,234
U5C0A,318
U516C,3504
U4FE1,252
U4E94,603
U67F3,226
U96D6,1188
U8870,184
U90E1,244
U53BB,371
U7D20,255
U9AD4,456
U60D9,18
U75BE,404
U6587,2143
U7D42,611
U56FA,417
U7BC0,684
U5BBF,116
U958B,396
U8B28,69
U8AAA,399
U901F,78
U6709,5307
U8F3F,106
U53F8,676
U7701,257
U77E2,28
U6A02,464
U696D,375
U7576,1227
U81EA,2236
U6C7A,146
U6210,1080
U975C,266
U5BA3,256
U64E7,587
U5728,1596
U4E5F,3756
U6B32,799
U83CA,51
U8C37,222
U4F7F,1234
U757F,32
U7D2F,208
U4E15,46
U671F,312
U718A,12
U6B23,80
U5A01,153
U8033,274
U7F77,249
U5DF2,1186
U6614,231
U7ACA,310
U5426,116
U4E8B,2842
U592B,1062
U5217,273
U5929,1853
U653E,88
U4E0D,7731
U8863,266
U9014,125
U4EAC,268
U5152,193
U5468,385
U91D1,740
U559C,346
U7121,3115
U65A5,175
U4EE4,531
U763C,11
U8FAD,825
U5148,1675
U4E0A,2027
U8ABF,186
U5C19,549
U9298,177
U80FD,979
U6642,1862
U662F,1945
U6F0F,45
U4E0B,1551
U9748,257
U8150,15
U4EBA,3805
U6240,2620
U4E2D,1745
U6BBA,80
U820A,419
U51CC,62
U4F6F,8
U9053,1338
U8986,99
U77E5,1584
U76EE,258
U7D8F,35
U8F2F,18
U7368,505
U5BE6,759
U8896,46
U5ACC,98
U65AF,403
U9010,66
U96F2,630
U5716,220
U5B78,1254
U7B75,198
U751F,2366
U65C1,78
U5FA9,861
U826F,267
U55DA,257
U554F,489
U4ECA,1882
U795E,628
U5730,832
U6C0F,446
U7533,366
U5C71,1524
U7678,144
U660E,1524
U7E3D,17
U8207,1345
U656C,401
U8A95,47
U8F1D,98
U7FFC,121
U5FB7,917
U65CF,114
U4F55,1612
